synset,word,Source,
331,tepid,Romance,
332,lush,Germanic,
332,plush,Romance,
333,luster,Romance,
333,splendor,Romance,
334,mailman,Germanic,
334,postman,Romance,
335,manufacture,Romance,
335,fabricate,Romance,
335,construct,Romance,
336,maroon,Romance,
336,strand,Germanic,
337,maul,Romance,
337,sledgehammer,Germanic,
338,meager,Romance,
338,meagre,Romance,
338,stingy,Germanic,
339,meddle,Romance,
339,tamper,Romance,
340,merchandise,Romance,
340,ware,Germanic,
341,mindless,Germanic,
341,senseless,Romance,
342,mint,Germanic,
342,strike,Germanic,
343,mire,Germanic,
343,muck,Germanic,
344,misdemeanor,Romance,
344,infraction,Romance,
345,misinterpret,Romance,
345,misunderstand,Germanic,
346,modification,Romance,
346,adjustment,Romance,
347,moody,Germanic,
347,sour,Germanic,
348,mundane,Romance,
348,routine,Romance,
348,unremarkable,Romance,
349,mutilate,Romance,
349,mangle,Germanic,
350,mystic,Romance,
350,mystical,Romance,
351,narration,Romance,
351,tale,Germanic,
352,narration,Romance,
352,yarn,Germanic,
353,nauseous,Romance,
353,queasy,Germanic,
353,loathsome,Germanic,
353,vile,Romance,
354,nautical,Romance,
354,maritime,Romance,
355,neat,Germanic,
355,peachy,Romance,
355,swell,Germanic,
356,noon,Romance,
356,midday,Germanic,
357,numeral,Romance,
357,numeric,Romance,
358,obscure,Romance,
358,cloud,Germanic,
358,mist,Germanic,
359,obscure,Romance,
359,unknown,Germanic,
359,unsung,Vietnamese,
360,observe,Romance,
360,remark,Romance,
361,obstacle,Romance,
361,obstruction,Romance,
362,obstinate,Romance,
362,wayward,Germanic,
363,obstruction,Romance,
363,blockage,Germanic,age- Romance
364,omen,Romance,
364,prodigy,Romance,
365,ominous,Romance,
365,sinister,Romance,
365,threatening,Germanic,
366,onset,Germanic,
366,oncoming,Germanic,
367,orb,Romance,
367,revolve,Romance,
368,ostracize,Greek,
368,shun,Germanic,
369,outlaw,Germanic,
369,criminalize,Romance,
370,outline,Germanic,
370,synopsis,Romance,
371,outlive,Germanic,
371,outlast,Germanic,
372,overcharge,Romance,over- Germanic
372,soak,Germanic,
372,surcharge,Romance,
372,fleece,Germanic,
372,rob,Romance,
372,hook,Germanic,
373,overcome,Germanic,
373,defeat,Romance,
374,overdo,Germanic,
374,exaggerate,Romance,
375,overhaul,Germanic,
375,modernize,Romance,
376,overstate,Romance,over- Germanic
376,exaggerate,Romance,
376,amplify,Romance,
377,overthrow,Germanic,
377,subvert,Romance,
377,overturn,Romance,over- Germanic
378,overturn,Romance,over- Germanic
378,override,Germanic,
378,overthrow,Germanic,
378,reverse,Romance,
379,overwhelm,Germanic,
379,overcome,Germanic,
380,palette,Romance,
380,pallet,Germanic,
381,pant,Romance,
381,puff,Germanic,
382,pantry,Romance,
382,buttery,Romance,
383,paradise,Romance,
383,nirvana,Sanscirit,
384,parlance,Romance,
384,idiom,Romance,
385,parody,Romance,
385,travesty,Romance,
385,charade,Romance,
386,passage,Romance,
386,transition,Romance,
387,pastime,Romance,
387,pursuit,Romance,
388,patio,Romance,
388,terrace,Romance,
389,pawn,Romance,
389,soak,Germanic,
390,perform,Romance,
390,execute,Romance,
391,persecute,Romance,
391,oppress,Romance,
392,pertain,Romance,
392,relate,Romance,
392,concern,Romance,
392,touch,Germanic,
393,pervert,Romance,
393,subvert,Romance,
393,profane,Romance,
394,picker,Germanic,
394,selector,Romance,
395,pillage,Romance,
395,foray,Germanic,
396,pinpoint,?,pin-Gernanic pint-Ronmance
396,nail,Germanic,
397,pit,Germanic,
397,cavity,Romance,
398,plethora,Romance,
398,embarrassment,Romance,
399,poke,Germanic,
399,dig,Germanic,
400,politeness,Romance,
400,niceness,Romance,
401,populate,Romance,
401,dwell,Germanic,
401,inhabit,Romance,
402,pose,Germanic,
402,lay,Germanic,
403,potter,Germanic,
403,tinker,Germanic,
403,monkey,Germanic,
404,prepare,Romance,
404,educate,Romance,
405,prepare,Romance,
405,ready,Germanic,
406,present,Romance,
406,pose,Germanic,
407,presumption,Romance,
407,precondition,Romance,
408,pretense,Romance,
408,pretence,Romance,
409,prevalent,Romance,
409,dominant,Romance,
410,print,Germanic,
410,publish,Romance,
411,prize,Romance,
411,award,Romance,
412,procrastinate,Romance,
412,stall,Germanic,
413,prosecute,Romance,
413,pursue,Romance,
414,propose,Romance,
414,advise,Romance,
415,proverb,Romance,
415,adage,Romance,
416,pry,Germanic,
416,prize,Romance,
416,lever,Romance,
417,pulpit,Romance,
417,stump,Germanic,
417,soapbox,Germanic,
418,pulse,Romance,
418,heartbeat,Germanic,
419,purpose,Romance,
419,propose,Romance,
420,quartz,Germanic,
420,crystal,Romance,
421,quell,Germanic,
421,quench,Germanic,
422,rag,Germanic,
422,lecture,Romance,
422,reprimand,Romance,
422,jaw,Germanic,
422,berate,Germanic,
423,raincoat,Germanic,
423,waterproof,Germanic,
424,raise,Germanic,
424,invoke,Romance,
424,evoke,Romance,
424,stir,Germanic,
424,arouse,Romance,
425,ramp,Germanic,
425,storm,Germanic,
426,rant,Germanic,
426,rave,Romance,
427,raze,Romance,
427,dismantle,Romance,
428,reap,Germanic,
428,harvest,Germanic,
428,glean,Romance,
429,recourse,Romance,
429,resort,Romance,
429,refuge,Romance,
430,rectify,Romance,
430,remedy,Romance,
430,repair,Romance,
430,amend,Romance,
431,reddish,Germanic,
431,cherry,Romance,
431,ruby,Romance,
431,scarlet,Romance,
432,regenerate,Romance,
432,renew,Germanic,
433,regenerate,Romance,
433,revitalize,Romance,
434,relinquish,Romance,
434,resign,Romance,
435,remedial,Romance,
435,therapeutic,Romance,
436,remembrance,Romance,
436,recollection,Romance,
437,repeat,Romance,
437,echo,Romance,
438,reprehensible,Romance,
438,vicious,Romance,
439,rescue,Romance,
439,deliverance,Romance,
439,saving,Romance,
440,resentment,Romance,
440,bitterness,Germanic,
440,gall,Germanic,
441,resign,Romance,
441,renounce,Romance,
442,resonant,Romance,
442,resounding,Germanic,
443,restrict,Germanic,
443,curb,Romance,
444,retinue,Romance,
444,suite,Romance,
444,entourage,Romance,
445,restrict,Germanic,
445,restrain,Romance,
445,bound,Germanic,
445,throttle,Germanic,
446,revoke,Romance,
446,annul ,Romance,
446,reverse,Romance,
446,repeal,Romance,
446,overturn,Germanic,
447,ridicule,Romance,
447,roast,Germanic,
448,rip,Germanic,
448,pull,Romance,
449,sabotage,Romance,
449,undermine,Germanic,
449,counteract,Romance,
449,subvert,Romance,
450,saliva,Romance,
450,spit,Germanic,
451,satisfy,Romance,
451,fulfill,Germanic,
452,scar,,Combination of both
452,mark,Germanic,
452,pit,Germanic,
453,scrape,Germanic,
